Sample_ID,Rock_Type,Depth_m,Porosity_pct,Permeability_mD,Grain_Density_kg_m3
S-001,Limestone,1363.0,11.9,8.89,2382.0
S-002,Sandstone,1682.0,24.8,80.95,2443.0
S-003,Shale,1474.0,6.2,0.01,2596.0
S-004,Limestone,1943.0,15.7,7.98,2433.0
S-005,Sandstone,945.0,19.1,29.92,2338.0
S-006,Shale,1120.0,22.1,1.31,2566.0
S-007,Limestone,3278.0,23.0,67.4,2464.0
S-008,Limestone,1228.0,23.6,55.62,2630.0
S-009,Sandstone,1342.0,15.6,31.55,2427.0
S-010,Limestone,3102.0,14.8,2.52,2216.0
S-011,Sandstone,3743.0,24.0,51.06,2195.0
S-012,Shale,1297.0,16.7,0.08,2648.0
S-013,Limestone,1779.0,9.1,1.18,2659.0
S-014,Shale,2205.0,10.1,0.01,2373.0
S-015,Sandstone,3037.0,11.6,7.09,2343.0
S-016,Sandstone,1408.0,21.5,38.31,2619.0
S-017,Limestone,1853.0,19.0,5.46,2234.0
S-018,Sandstone,2466.0,22.8,29.88,2266.0
S-019,Shale,2261.0,15.0,0.12,2496.0
S-020,Limestone,1774.0,19.1,27.52,2341.0
S-021,Limestone,1920.0,22.4,130.97,2399.0
S-022,Sandstone,1175.0,15.8,89.98,2375.0
S-023,Shale,1857.0,21.2,0.56,2451.0
S-024,Shale,1840.0,13.4,0.03,2611.0
S-025,Limestone,2139.0,15.5,1.54,2414.0
S-026,Sandstone,1667.0,15.3,12.89,2497.0
S-027,Limestone,2283.0,9.6,0.99,2092.0
S-028,Sandstone,2608.0,21.4,32.76,2393.0
S-029,Sandstone,2093.0,14.7,6.11,2274.0
S-030,Limestone,2211.0,18.1,11.12,2217.0
S-031,Limestone,2032.0,21.4,54.69,2268.0
S-032,Shale,2000.0,21.1,0.45,2350.0
S-033,Sandstone,1567.0,22.7,52.77,2537.0
S-034,Sandstone,2190.0,17.3,8.3,2201.0
S-035,Limestone,1942.0,15.0,1.89,2405.0
S-036,Sandstone,3256.0,17.4,12.42,2327.0
S-037,Sandstone,2944.0,6.2,1.27,2351.0
S-038,Limestone,2232.0,7.9,3.97,2550.0
S-039,Sandstone,1542.0,8.7,2.56,2481.0
S-040,Limestone,1333.0,11.0,4.71,2601.0
S-041,Sandstone,2715.0,20.8,26.93,2377.0
S-042,Shale,2158.0,11.7,0.02,2296.0
S-043,Limestone,2288.0,15.4,3.38,2366.0
S-044,Sandstone,953.0,27.1,98.27,2436.0
S-045,Shale,2556.0,15.5,0.49,2426.0
S-046,Shale,2273.0,23.2,0.37,2237.0
S-047,Sandstone,1334.0,11.5,7.97,2414.0
S-048,Sandstone,1717.0,16.6,7.75,2434.0
S-049,Limestone,2158.0,11.3,4.87,2778.0
S-050,Sandstone,2031.0,15.6,14.98,2682.0
S-051,Sandstone,1825.0,23.9,69.66,2272.0
S-052,Sandstone,1938.0,5.9,1.2,2357.0
S-053,Limestone,1849.0,21.0,15.2,2180.0
S-054,Limestone,2092.0,19.7,24.1,2311.0
S-055,Limestone,2883.0,13.8,3.32,2447.0
S-056,Limestone,460.0,7.9,0.5,2581.0
S-057,Limestone,1858.0,18.5,5.56,2291.0
S-058,Limestone,2106.0,14.3,5.75,2302.0
S-059,Sandstone,2178.0,19.6,85.85,2078.0
S-060,Sandstone,1777.0,18.2,23.33,2376.0
